backend,training %,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall
theano,20,889.781595,42.89240694,0.936245664,0.911918202,0.895419368,0.929036458,0.955489309,0.937903341,0.92976969,0.946180556
theano,40,2999.344489,29.37563491,0.947132187,0.925756628,0.923667787,0.927854938,0.9565709,0.938914191,0.938303713,0.939525463
theano,60,5057.13121,21.43396711,0.947373831,0.925309993,0.93306855,0.917679398,0.957204043,0.939117719,0.949344634,0.929108796
theano,80,8630.427049,10.58325887,0.950971323,0.928517908,0.963009015,0.896412037,0.959294855,0.940935193,0.970986609,0.912688079
tensorFlow,20,637.4184818,124.3300654,0.942186817,0.918134445,0.924163512,0.912543403,0.964309211,0.949355888,0.958144964,0.940972222
tensorFlow,40,1274.414363,90.80229678,0.947310354,0.924206049,0.94519806,0.904185957,0.960846996,0.943808317,0.962845859,0.925549769
tensorFlow,60,1913.084097,59.74969206,0.947558845,0.924446939,0.946631375,0.903616898,0.959054309,0.941077084,0.962180095,0.921122685
tensorFlow,80,2461.498695,30.14553781,0.950169596,0.929926561,0.929479146,0.930671296,0.958657553,0.941735596,0.943138684,0.940625
cntk,20,2499.154391,62.89984703,0.941950405,0.916767989,0.934219419,0.899956597,0.964638158,0.949006819,0.972948328,0.926215278
cntk,40,6427.909516,42.52976084,0.949153704,0.927333268,0.941814203,0.913290895,0.962224392,0.945959856,0.96172821,0.930700231
cntk,60,11029.69414,29.25022912,0.951279679,0.930098805,0.948421053,0.912471065,0.962823368,0.946543824,0.96746903,0.92650463
cntk,80,16983.25313,14.69121599,0.949635112,0.926071213,0.967528373,0.888020833,0.960425554,0.942460021,0.974652241,0.912326389
