backend,mean_fit_time,mean_score_time,mean_test_score,param_epochs
cntk,131.302552,27.15712905,0.928729296,1
cntk,263.1672145,26.69874597,0.927996931,2
cntk,580.0797695,24.26989365,0.924437892,4
cntk,2227.209834,29.04967642,0.93769756,8
cntk,3439.342629,26.84129751,0.94115381,16
theano,56.1735059,15.73610604,0.933727347,1
theano,97.32235944,16.214414,0.940511364,2
theano,215.0939405,16.4424535,0.941526397,4
theano,488.7118675,16.150473,0.941449306,8
theano,1013.671856,15.15560842,0.941115244,16
tensorFlow,56.97929811,39.0796628,0.927303089,1
tensorFlow,87.99154878,41.37216401,0.936245656,2
tensorFlow,162.714092,39.74240994,0.940999608,4
tensorFlow,319.3995261,39.59914088,0.944725677,8
tensorFlow,624.625612,41.5128231,0.935603231,16
